id,file_name,gardiner_code,category,meaning
1,𓀀,A1,A,Seated man
2,𓀁,A2,A,Man with hand to mouth
3,𓀂,A3,A,Man sitting on heel
4,𓀃,A4,A,Man with arms raised
5,𓀄,A5,A,Man hiding
6,𓀆,A6,A,Man purifying
7,𓀉,A7,A,Fatigued man
8,𓀊,A8,A,Man performing hnw
9,𓀋,A9,A,Man with basket on head
10,𓀌,A10,A,Man holding an oar
11,𓀍,A11,A,Man with scepter and crook
12,𓀎,A12,A,Man with bow and quiver
13,𓀏,A13,A,Man with arms bound
14,𓀐,A14,A,Man with bleeding head
15,𓀑,A14a,A,Man with axe to head
16,𓀒,A15,A,Man falling
17,𓀓,A16,A,Man bowing
18,𓀔,A17,A,Child with hand to mouth
19,𓀕,A17a,A,Child sitting
20,𓀖,A18,A,Child wearing red crown
21,𓀗,A19,A,Aged man bending with stick
22,𓀘,A20,A,Man leaning on forked stick
23,𓀙,A21,A,Man with stick
24,𓀚,A22,A,Statue of man with stick and scepter
25,𓀛,A23,A,King with stick and mace
26,𓀜,A24,A,Man striking with stick in both hands
27,𓀝,A25,A,Man striking with stick in one hand
28,𓀞,A26,A,Man beckoning
29,𓀟,A27,A,Man running
30,𓀠,A28,A,Man with arms raised
31,𓀡,A29,A,Man upside down
32,𓀢,A30,A,Man with arms outstretched
33,𓀣,A31,A,Man with arms turned behind him
34,𓀤,A32,A,Man dancing
35,𓀦,A33,A,Man with stick and bundle
36,𓀧,A34,A,Man pounding in a mortar
37,𓀨,A35,A,Man building a wall
38,𓀩,A36,A,Man straining into a vessel
39,𓀪,A37,A,Commoner form A36
40,𓀫,A38,A,Man holding two animal emblems
41,𓀬,A39,A,Man holding two giraffes
42,𓀭,A40,A,Seated god
43,𓀯,A41,A,Seated king
44,𓀰,A42,A,Seated king holding flail
45,𓀲,A43,A,King wearing white crown of Upper Egypt
46,𓀴,A44,A,King holding flail and wearing white crown of Upper Egypt
47,𓀵,A45,A,King wearing red crown of Lower Egypt.
48,𓀷,A46,A,King holding flail and wearing red crown of Lower Egypt.
49,𓀸,A47,A,Seated sheperd
50,𓀹,A48,A,Man holding knife
51,𓀺,A49,A,Foreigner with stick
